Site,Date(UTC),Air Temp,Wind Speed,Min Temp,Max Temp,1Hr Precip,6Hr Precip,Rel Humidity,Wind Gust,Wind Direction,Weather,Pressure,Total Cloud,Visibility,Solar Rad,Sunshine,Snow Depth,Dew Point,OLE Temp
South Uist Range,02/09/2019 04:00,11.8,16,,,0.2,,92,,220,Moderate shower,1012,8,6,,,,10.7,
South Uist Range,02/09/2019 05:00,11.3,15,,,0.8,,98,,180,Light drizzle,1012,2,4,,,,11,
South Uist Range,02/09/2019 06:00,11.6,20,9.6,,1,2,98,,180,Light shower,1010,7,3,,,,11.4,
South Uist Range,02/09/2019 07:00,13.4,24,,,2.8,,97,32,220,Rain,1009,7,5,,,,13,
South Uist Range,02/09/2019 08:00,13.6,26,,,0.8,,97,38,230,Light shower,1009,8,3,,,,13.2,
South Uist Range,02/09/2019 09:00,13.4,23,,,1,,98,38,240,Rain,1008,1,1,,,,13.2,
South Uist Range,02/09/2019 10:00,13.9,24,,,0.2,,98,31,240,Drizzly rain,1008,6,2,,,,13.7,
South Uist Range,02/09/2019 11:00,14.1,25,,,0.8,,98,33,240,Rain,1008,7,2,,,,13.9,
South Uist Range,02/09/2019 12:00,14.4,23,,,0.2,6,98,31,240,Light shower,1007,7,8,,,,14.2,
South Uist Range,02/09/2019 13:00,14.4,23,,,0.2,,98,31,250,Rain,1007,4,1,,,,14.2,
South Uist Range,02/09/2019 14:00,14.6,23,,,0.6,,98,33,250,Rain,1007,5,22,,,,14.3,
South Uist Range,02/09/2019 15:00,14.7,22,,,0,,96,30,250,Rain,1008,4,23,,,,14.2,
South Uist Range,02/09/2019 16:00,14.4,21,,,0,,98,31,260,Misty,1008,7,4,,,,14.2,
South Uist Range,02/09/2019 17:00,14.5,21,,,0,,96,29,270,Dry,1008,5,23,,,,14,
South Uist Range,02/09/2019 18:00,14.3,21,,14.8,0,1,95,29,270,Dry,1009,7,14,,,,13.6,
South Uist Range,02/09/2019 19:00,13.7,21,,,0.2,,98,,260,Drizzly rain,1010,7,1,,,,13.4,
South Uist Range,02/09/2019 20:00,13.5,21,,,0,,98,31,270,Rain,1010,1,4,,,,13.2,
