Site,Date(UTC),Air Temp,Wind Speed,Min Temp,Max Temp,1Hr Precip,6Hr Precip,Rel Humidity,Wind Gust,Wind Direction,Weather,Pressure,Total Cloud,Visibility,Solar Rad,Sunshine,Snow Depth,Dew Point,OLE Temp
Wick,01/09/2019 00:00,9.2,12,,,0,0,93,,230,Dry,1001,1,50,,,,8.2,
Wick,01/09/2019 01:00,10.1,14,,,0,,94,,240,Rain,1002,8,45,,,,9.2,
Wick,01/09/2019 02:00,10.5,13,,,0.2,,94,,250,Rain,1002,7,5,,,,9.7,
Wick,01/09/2019 03:00,10.4,10,,,0.2,,95,,250,Light shower,1003,8,6,,,,9.7,
Wick,01/09/2019 04:00,10.2,14,,,0.6,,95,,250,Rain,1003,7,45,,,,9.5,
Wick,01/09/2019 05:00,9.9,15,,,2.8,,98,,280,Moderate shower,1004,1,6,,,,9.6,
Wick,01/09/2019 06:00,9.3,9,9,,2.2,6,98,,280,Rain,1005,6,35,,,,9.1,
Wick,01/09/2019 07:00,10.4,12,,,0,,97,,290,Dry,1006,8,19,,,,10,
Wick,01/09/2019 08:00,11.6,12,,,0,,90,,310,Dry,1007,1,21,,,,10.1,
Wick,01/09/2019 09:00,12.1,15,,,0,,82,,290,Dry,1008,8,26,,,,9.2,
Wick,01/09/2019 10:00,11.6,20,,,0,,74,,300,Dry,1009,7,24,,,,7.2,
Wick,01/09/2019 11:00,12.2,21,,,0,,72,32,290,Dry,1010,6,10,,,,7.4,
Wick,01/09/2019 12:00,12.3,21,,,0,0,73,30,290,Dry,1010,3,19,,,,7.7,
Wick,01/09/2019 13:00,12.8,17,,,0,,72,30,300,Dry,1011,4,40,,,,8,
Wick,01/09/2019 14:00,11.8,16,,,0,,70,,310,Dry,1012,7,30,,,,6.6,
Wick,01/09/2019 15:00,13.5,16,,,0,,64,,310,Dry,1012,6,19,,,,7,
Wick,01/09/2019 16:00,12.1,13,,,0,,69,,300,Dry,1013,1,40,,,,6.6,
Wick,01/09/2019 17:00,12,12,,,0,,70,,300,Dry,1014,7,30,,,,6.9,
Wick,01/09/2019 18:00,10.2,7,,13.8,0,0,78,,260,Dry,1014,2,29,,,,6.6,
Wick,01/09/2019 19:00,10.3,7,,,0,,79,,260,Dry,1015,7,50,,,,6.9,
