Site,Date(UTC),Air Temp,Wind Speed,Min Temp,Max Temp,1Hr Precip,6Hr Precip,Rel Humidity,Wind Gust,Wind Direction,Weather,Pressure,Total Cloud,Visibility,Solar Rad,Sunshine,Snow Depth,Dew Point,OLE Temp
Inverbervie,01/09/2019 00:00,8.6,18,,,0,0,94,,240,Dry,1005,,45,,,,7.7,
Inverbervie,01/09/2019 01:00,8.4,16,,,0,,93,,240,Dry,1005,0,40,0,,,7.4,
Inverbervie,01/09/2019 02:00,8.4,14,,,0,,91,,250,Dry,1006,,40,0,,,7.1,
Inverbervie,01/09/2019 03:00,8.5,21,,,0,,90,,250,Dry,1006,,50,0,,,7.1,
Inverbervie,01/09/2019 04:00,8.2,14,,,0,,91,,260,Dry,1006,4,40,0,,,6.9,
Inverbervie,01/09/2019 05:00,8.8,8,,,0,,88,,250,Dry,1007,7,40,0,,,7,
Inverbervie,01/09/2019 06:00,8.5,8,7.9,,0,0,90,,270,Dry,1007,7,50,52,,,7.1,
Inverbervie,01/09/2019 07:00,9.9,6,,,0,,86,,260,Dry,1008,2,30,385,,,7.7,
Inverbervie,01/09/2019 08:00,10.7,9,,,0,,81,,290,Dry,1009,7,45,517,,,7.6,
Inverbervie,01/09/2019 09:00,12.3,15,,,0,,73,,300,Dry,1009,6,50,1006,,,7.8,
Inverbervie,01/09/2019 10:00,13.3,15,,,0,,70,,300,Dry,1010,5,40,1149,,,8.1,
Inverbervie,01/09/2019 11:00,14.2,17,,,0,,64,29,310,Dry,1011,1,30,2270,,,7.7,
Inverbervie,01/09/2019 12:00,14.2,17,,,0,0,59,,310,Dry,1011,5,30,2202,,,6.4,
Inverbervie,01/09/2019 13:00,14,16,,,0,,62,,310,Dry,1012,7,35,1821,,,6.9,
Inverbervie,01/09/2019 14:00,13.3,17,,,0,,62,,300,Dry,1012,7,40,1257,,,6.2,
Inverbervie,01/09/2019 15:00,11.8,18,,,0,,67,33,320,Dry,1013,7,50,1300,,,5.9,
Inverbervie,01/09/2019 16:00,11.7,6,,,0.4,,84,,330,Light shower,1014,7,30,523,,,9.2,
Inverbervie,01/09/2019 17:00,10.7,12,,,0,,78,,330,Light shower,1014,7,17,599,,,7.2,
Inverbervie,01/09/2019 18:00,10.5,7,,16.1,0,0.4,81,,330,Drizzly rain,1015,5,40,431,,,7.4,
Inverbervie,01/09/2019 19:00,9.7,3,,,0,,82,,360,Rain,1016,1,35,133,,,6.8,
Inverbervie,01/09/2019 20:00,9.6,1,,,0,,83,,230,Dry,1016,3,40,3,,,7,
Inverbervie,01/09/2019 21:00,9.9,2,,,0,,77,,230,Dry,1017,6,40,0,,,6.2,
Inverbervie,01/09/2019 22:00,8.7,3,,,0,,88,,260,Dry,1017,1,45,0,,,6.9,
Inverbervie,01/09/2019 23:00,8.3,5,,,0,,92,,280,Dry,1017,0,35,0,,,7.2,
Inverbervie,02/09/2019 00:00,7.3,6,,,0,0,94,,310,Dry,1017,,40,,,,6.5,
Inverbervie,02/09/2019 01:00,7.1,7,,,0,,94,,310,Dry,1017,0,30,0,,,6.3,
Inverbervie,02/09/2019 02:00,6.3,5,,,0,,93,,310,Dry,1017,0,40,0,,,5.3,
Inverbervie,02/09/2019 03:00,5.9,6,,,0,,92,,260,Dry,1017,0,50,0,,,4.8,
Inverbervie,02/09/2019 04:00,5.7,6,,,0,,90,,260,Dry,1016,0,45,0,,,4.2,
Inverbervie,02/09/2019 05:00,6.1,9,,,0,,92,,250,Dry,1016,,50,0,,,5,
Inverbervie,02/09/2019 06:00,7.1,9,4.7,,0,0,92,,240,Dry,1016,4,40,49,,,5.9,
Inverbervie,02/09/2019 07:00,7.6,9,,,0,,92,,280,Dry,1016,7,35,267,,,6.5,
Inverbervie,02/09/2019 08:00,9.8,13,,,0,,89,,250,Dry,1015,8,35,729,,,8.2,
Inverbervie,02/09/2019 09:00,9.6,14,,,0.2,,96,,220,Moderate rain,1015,2,17,539,,,9,
Inverbervie,02/09/2019 10:00,10.3,15,,,1,,99,,210,Moderate rain,1014,2,8,425,,,10.2,
Inverbervie,02/09/2019 11:00,11.3,23,,,0.2,,98,,200,Rain,1013,8,20,339,,,11.1,
Inverbervie,02/09/2019 12:00,11.8,24,,,0.4,2,97,31,210,Moderate rain,1012,8,15,308,,,11.4,
Inverbervie,02/09/2019 13:00,12.4,23,,,0,,95,31,210,Rain,1010,7,19,272,,,11.7,
Inverbervie,02/09/2019 14:00,15.4,28,,,0.2,,86,45,220,Rain,1009,5,35,1103,,,13.2,
Inverbervie,02/09/2019 15:00,15.6,26,,,0,,85,43,230,Dry,1008,8,40,1270,,,13.1,
Inverbervie,02/09/2019 16:00,14.6,26,,,0,,87,40,220,Dry,1008,8,13,1307,,,12.5,
Inverbervie,02/09/2019 17:00,14.8,16,,,0,,89,35,230,Rain,1008,8,50,713,,,13.1,
