Site,Date(UTC),Air Temp,Wind Speed,Min Temp,Max Temp,1Hr Precip,6Hr Precip,Rel Humidity,Wind Gust,Wind Direction,Weather,Pressure,Total Cloud,Visibility,Solar Rad,Sunshine,Snow Depth,Dew Point,OLE Temp
Wick,01/09/2015 00:00,11,17,,,0.2,0.2,96,,310,Drizzly rain,1018,2,12,,,,10.5,
Wick,01/09/2015 01:00,10.7,17,,,0.2,,,,320,61,1018,1,4,,,,,
Wick,01/09/2015 02:00,10.6,16,,,0.6,,,,310,61,1018,4,11,,,,,
Wick,01/09/2015 03:00,10.6,17,,,0.6,,,,320,51,1018,1,6,,,,,
Wick,01/09/2015 04:00,10.2,17,,,0.6,,,,300,,1018,7,3,,,,,
Wick,01/09/2015 05:00,10.4,16,,,1.4,,,,300,61,1017,6,4,,,,,
Wick,01/09/2015 06:00,11.2,12,9.9,,0.2,3.8,,,320,61,1017,6,11,,,,,
Wick,01/09/2015 07:00,11.5,13,,,0.2,,,,330,61,1017,6,17,,,,,
Wick,01/09/2015 08:00,12,15,,,0,,,,340,,1018,3,20,,,,,
Wick,01/09/2015 09:00,12.9,12,,,0,,,,360,,1018,1,27,,,,,
Wick,01/09/2015 10:00,13.3,13,,,0,,,,360,,1018,3,17,,,,,
Wick,01/09/2015 11:00,12.2,15,,,0.6,,,,20,80,1018,3,5,,,,,
Wick,01/09/2015 12:00,13.8,14,,,1,2,,,20,,1018,1,21,,,,,
Wick,01/09/2015 13:00,14.3,16,,,0,,,,20,,1018,1,27,,,,,
Wick,01/09/2015 14:00,14.6,13,,,0,,,,20,16,1019,5,14,,,,,
Wick,01/09/2015 15:00,12.1,13,,,1.8,,,,10,16,1019,3,22,,,,,
Wick,01/09/2015 16:00,12.9,15,,,0.2,,,,10,,1019,3,18,,,,,
Wick,01/09/2015 17:00,12.8,13,,,0,,,,350,16,1019,2,21,,,,,
Wick,01/09/2015 18:00,11.3,9,,14.6,0.6,2,,,360,16,1019,1,30,,,,,
